Id,AegisName,Name
685,RAMADAN,Ramadan
686,Earth_Scroll_1_3,Level 3 Earth Spike
687,Earth_Scroll_1_5,Level 5 Earth Spike
688,Cold_Scroll_1_3,Level 3 Cold Bolt
689,Cold_Scroll_1_5,Level 5 Cold Bolt
690,Fire_Scroll_1_3,Level 3 Fire Bolt
691,Fire_Scroll_1_5,Level 5 Fire Bolt
692,Wind_Scroll_1_3,Level 3 Lightening Bolt
693,Wind_Scroll_1_5,Level 5 Lightening Bolt
694,Ghost_Scroll_1_3,Level 3 Soul Strike
695,Ghost_Scroll_1_5,Level 5 Soul Strike
696,Fire_Scroll_2_1,Level 1 Fire Ball
697,Fire_Scroll_2_5,Level 5 Fire Ball
698,Fire_Scroll_3_1,Level 1 Fire Wall
699,Fire_Scroll_3_5,Level 5 Fire Wall
700,Cold_Scroll_2_1,Level 1 Frost Diver
7037,Trade_Coupon,Coupon
9510,Enchant_Stone_Box17,Costume Enchant Stone Box 17
9514,Ein_Ddbox,Physical Modification Permit
9515,Ein_1HITEMbox,Einbeck Weapon Box
9517,Ein_UNDIUM,Untouched Gemstone
9523,Metal_Rifine_Ticket,Metal Refining Ticket
9529,Ein_Ddbox2,Magical Modification Permit
9530,PC_Costume_Box,300 Points Costume Box
9539,Blue_Potion_B_10,[Event] Blue Potion Box
9550,Gemstone_Of_Time,Gemstone of Time
9551,Time_Unseal_Key,Time Unseal Key
9553,C_CatPaw_7Day_Box_,Infinite Cat Hand Ticket Box(7 Days)
9569,Festival_Noodle,Festival Noodles
9581,Wet_Sealed_Card,Sealed Wet Card
9582,Fancy_Spray_Of_Flowers,Colorful Flower Branches
9585,Small_Spray_Of_Flowers,Small Flower Branches
9586,2019_SStarR_Tbox,2019 Superstar R Ticket Box
9587,E_Life_Potion_Pack,[Event]Life Potion 20 Box
9588,E_DEF_Scroll_Box,[Not For Sale] Brilliant Protection Box (20)
9589,E_Almighty_Box,[Not For Sale] Almighty Box (10)
9590,E_LimitPowerBooster,[Not For Sale] Power Booster Box (10)
9610,E_Mysterious_Water,[Event] Mysterious Water
9785,Frozen_Box_IL,Frozen Refine Box
9862,Comp_Job_Manual50,[Not For Sale] JOB Battle Manual
9894,DF_Adrenaline_Scroll,[Scroll] Adrenaline Lv.5 Scroll
9895,DF_Abrasive,[Scroll] Abrasive
9896,DF_Power_Booster,[Scroll] Power Booster
9897,E_Glittering_Doll_B,Shiny Doll Button
9908,DF_Mental_Potion,[Scroll] Mental Potion
9909,DF_Ex_Def_Potion,[Scroll] Ex Def Potion
9932,Royal_Secret_Box,Royal Secret Box
9933,True_Hunting_9Refine,Troi Hunting 9 Refinement Package
9934,True_Hunting_Opt_A,Trois Hunting Physical Craft Kit
9935,True_Hunting_Opt_B,Trois Hunting Magical Craft Kit
9969,Arca_Cura_BR,Healing Ark
9970,Arca_Palito_BR,Stick Ark
9971,Arca_Batalha2_BR,Major Battle Ark
9972,Arca_Batalha_BR,Battle Ark
9973,Arca_Vida2_BR,Major Ark of Life
9974,Arca_Vida_BR,Ark of Life
9975,Arca_Divina2_BR,Divine Major Ark
9976,Arca_Divina_BR,Divine Ark
9977,Arca_Refino2_BR,Major Refining Ark
9978,Arca_Refino_BR,Refining Ark
9979,Arca_Enriquecido_BR,Perfect Ark
9980,Arca_Minerio_BR,Ore Ark
9981,Arca_Pergaminho_BR,Scroll Ark
9982,Arca_Especial_BR,Special Ark
9983,Arca_Celeste2_BR,Major Celestial Ark
9984,Arca_Celeste_BR,Major Celestial Ark
9985,Arca_Status_BR,Potions Ark
9986,Arca_Reset_BR,Reset Ark
9987,Arca_Up2_BR,Major Evolve Ark
9988,Arca_Up_BR,Evolve Ark
9991,Boarding_Halter_Box_7d,[Not For Sale] Boarding Halter 7D Box
9999,Season_Evt_Reward_2,Sweets Snack Pack
10625,Hero_Hammer_Package_5,Modified Hero's Weapon Refine Hammer Package V
11500,Light_Yellow_Pot,Light Yellow Potion
11501,Light_White_Pot,Light White Potion
11502,Light_Blue_Pot,Light Blue Potion
11503,Siege_White_Potion,WoE White Potion
11504,Siege_Blue_Potion,WoE Blue Potion
11505,Iris,Iris
11506,Fanta_Orange,Fanta Orange
11507,Fanta_Grape,Fanta Grape
11508,Karada_Meguri_Tea,Karada Meguricha
11509,Royal_Milk_Tea,Black Tea Kochakaden
11510,Coke_Zero,Coca Cola Zero
11511,Coke_No_Cal,Diet Coca Cola
11512,Coca_Cola,Coca Cola
11513,Protect_Neck_Candy,Protect Neck Candy
11514,Enriched_Slim_Pot,Enriched Slim Pot
11515,Coconut,Coconut
11516,Asai_Fruit,Asai Fruit
11517,Puri_Potion,Puri Potion
11518,N_Blue_Potion,Blue Potion
11519,Beef_Toast,Beef Toast
11520,Mora_Mandarin,Mora Mandar
11521,Pingui_Berry_Juice,Pingui Berry Juice
11522,Red_Raffle_Sap,Red Raffle Sap
11523,Yellow_Raffle_Sap,Yellow Raffle Sap
11524,White_Raffle_Sap,White Raffle Sap
11525,Mora_Hip_Tea,Mora Hip Tea
11526,Rafflecino,Rafflecino
11527,Baklava,Baklava
11528,Kanafeh,Kanafeh
11529,MAAMOUL_,Maamoul
11530,Jujube,Jujube
11531,Coffee,Coffee
11532,Nasi_Goreng,Nasi Goreng
11533,Satay,Satay
11534,Coco_Juice,Coconut Juice
11535,Almond_Chocolate,Almond Chocolate
11536,Cat_Hard_Biscuit,Cat Biscuit
11537,Rice_weevil_Bug,Rice Weevil Bug
11538,Octupus_Leg,Fresh Octopus Legs
11539,Athale_Choco,Athale Choco
11540,Shyai_Choco,Shyai Choco
11541,Mid_Choco,Mid Choco
11542,Zonda_Choco,Zonda Choco
11543,Goedo_Choco,Goedo Choco
11544,Huike_Choco,Huike Choco
11545,Rune_Choco,Rune Choco
11546,Pope_Choco,Pope Choco
11547,Woe_Violet_Potion,Siege Purple Potion
11548,Woe_White_Potion,Siege White Potion
11549,Woe_Blue_Potion,Siege Blue Potion
11550,Pumpkin_Cake,Pumpkin Cake
11551,Savory_Herb_Salad,Savory Herb Salad
11552,Apple_Carrot_Salad,Apple Carrot Salad
11553,Casual_Stew,Casual Stew
11554,Golden_Roasted_Apple,Golden Roasted Apple
11555,Red_Potion_RG,Red Potion RG
11556,Blue_Potion_RG,RG Blue Potion
11557,TE_White_Potion,TE White Potion
11558,TE_White_Slim_Potion,TE White Slim Potion
11562,Pie_Fruit,Pie Fruit
11563,Hot_Tee,Hot Tea
11564,Sweet_Canape,Sweet Canape
11565,White_Potion_B,White Potion
11566,Yellow_Potion_B,[Not For Sale] Yellow Potion
11567,Novice_Potion_B,Novice Potion
11568,Red_Slim_Potion_B,Red Slim Potion
11569,Orange_Potion_B,[Not For Sale] Orange Potion
11570,Red_Potion_B,[Not For Sale] Red Potion
11571,Green_Potion_B,Green Potion
11572,Blue_Potion_B,[Not For Sale] Blue Potion
11573,White_Slim_Potion_B,White Slim Potion
11574,Yellow_Slim_Potion_B,Yellow Slim Potion
11577,Rice_Ball_B,Rice Ball
11578,Candy_Striper_B,Candy Bar
11580,Candy_B,Candy
11581,Piece_Of_Cake_B,Piece of Cake
11582,Well_Baked_Cookie_B,Well-baked Cookie
11583,Chocolate_Drink_B,Chocolate Drink
11584,White_Chocolate_B,White Chocolate
11585,HandMade_Chocolate_B,Hand-made Chocolate
11586,HandMade_Chocolate_B_,Hand-made White Chocolate
11587,Chocolate_B,Chocolate
11588,Strawberry_,Fresh Strawberries
11589,Iceflake,Cold Snow Cone
11590,Meat_Skewer5,Skewer No.5
11592,Trance_Candy_R,Trans Candy Red
11593,Trance_Candy_B,Trans Candy Blue
11594,Trance_Candy_Y,Trans Candy Yellow
11595,Trance_Candy_G,Trans Candy Green
11596,Blood_In_Skull,Blood In Skull
11597,Iron_Bug,Iron Worm
11598,Bitter_Cacao_Bean,Bitter Cacao Bean
11599,superstar_potion,Superstar Potion
11600,ShiningHolyWater,Shining Holy Water
11601,Tasty_Anchovy,Delicious Anchovy
11602,Nepeta_Cataria,Catnip Fruit
11603,Fruit_Of_Mastela_,[Gift] Mastela Fruit
11604,Royal_Jelly_,[Gift] Royal Jelly
11605,Cookies_Bat,Cookie Bat
11606,Light_White_Pot_,[Not for Sale] Light White Potion
11607,Crepe,Sweet Crepe
11608,Chocolate_Egg,Chocolate Egg
11609,Yummy_Cookie_Egg,Tasty Cookie Egg
11610,Sweet_Melon,Sweet Melon
11611,Pop_Corn,Popcorn
11612,Aromatic_Pop_Corn,Aromatic Popcorn
11613,Harvest_Cookie,Harvest Biscuit
11614,Fresh_Milk,Fresh Milk
11615,Sweet_Potato_,Sweet Potato
11616,Yummy_Meat,Delicious Meat
11617,Silvervine_Choco,Silvervine Chocoball
11620,Bearopy,Bear Rope
11621,High_RedPotion,Red Syrup
11622,High_YelloPotion,Yellow Syrup
11623,High_WhitePotion,White Syrup
11624,High_BluePotion,Blue Syrup
11625,Gourmet_Popcorn,Gourmet Butter Popcorn
11626,Kings_Melon_5,Recooked Melon Bread
11627,High_Q_Beef_Jerky,High Quality Beef Jerky
11628,Fleshy_Larva,Fleshy Larva
11629,Acorn_Chocoball,Acorn Chocolate Ball
11630,Pignic_Lunch,Lunch Box
11631,2401_ev_Rainbow,New Year Rainbow Rice Cake
11632,2401_ev_Sesamepastry,New Year Dasik
11633,2401_ev_WindTteok,New Year Wind Rice Cake
11634,2401_ev_Yugwa,New Year Yugwa
11635,2401_ev_RedLin,Red Inverse Scale
11636,24_S_Ev_Lime_Soda,Lime Soda
11637,24_S_Ev_Berry_Soda,Berry Soda
11638,24_A_Ev_Choco_C,Symposium Choco Egg Cookie
11639,24_A_Ev_Egg_C,Symposium Egg Cookie
11640,E_Deli_BBQ,Well-cooked Meat
11641,E_Leather_Bottle,Leather Canteen
11701,Girl_Bunch_Of_Flower,Girl's Bouquet
11702,Moon_Cookie,Moon Cookie
11703,Mysterious_Blood,Mystery Blood
11704,KETUPAT_F,Ketupat
11705,Special_White_Potion,Children's Potion
11706,Steak,Steak
11707,Roasted_Beef,Roast Beef
11708,Fore_Flank_Sirloin,Fore Flank Sirloin
11709,Fanta_Zero_Lemon,Fanta Zero Lemon
11710,Sakura_Mist,Sakura Mist
11711,Sakura_Milk_Tea,Sakura Milk Tea
11712,First_Leaf_Tea,Flower
11713,Julia's_Candy,Julia's Candy
12000,Cold_Scroll_2_5,Level 5 Frost Diver
12001,Holy_Scroll_1_3,Level 3 Heal
12002,Holy_Scroll_1_5,Level 5 Heal
12003,Holy_Scroll_2_1,Level 1 Teleport
12004,Arrow_Container,Quiver
12005,Iron_Arrow_Container,Iron Arrow Quiver
12006,Steel_Arrow_Container,Steel Arrow Quiver
12007,Ori_Arrow_Container,Oridecon Arrow Quiver
12008,Fire_Arrow_Container,Fire Arrow Quiver
12009,Silver_Arrow_Container,Silver Arrow Quiver
12010,Wind_Arrow_Container,Wind Arrow Quiver
12011,Stone_Arrow_Container,Stone Arrow Quiver
12012,Crystal_Arrow_Container,Crystal Arrow Quiver
12013,Shadow_Arrow_Container,Shadow Arrow Quiver
12014,Imma_Arrow_Container,Immaterial Arrow Quiver
12015,Rusty_Arrow_Container,Rusty Arrow Quiver
12016,Speed_Up_Potion,Speed Potion
12017,Slow_Down_Potion,Slow Potion
12018,Fire_Cracker,Firecracker
12019,Holy_Egg,Holy Egg
12020,Water_Of_Darkness,Cursed Water
12021,Pork_Belly,Pork
12022,Spareribs,Galbi
12023,Giftbox_China,Wrapped Box
12024,Red_Pouch_Of_Surprise,Red Pouch
12025,Egg_Boy,Dano Festival Egg
12026,Egg_Girl,Dano Festival Egg
12027,Giggling_Box,Giggling Box
12028,Box_Of_Thunder,Box of Thunder
12029,Gloomy_Box,Box of Gloom
12030,Box_Of_Grudge,Box of Resentment
12031,Sleepy_Box,Box of Drowsiness
12032,Box_Of_Storm,Box of Storms
12033,Box_Of_Sunlight,Box of Sunlight
12034,Painting_Box,Box of Panting
12035,Lotto_Box01,Lotto Box 01
12036,Lotto_Box02,Lotto Box 02
12037,Lotto_Box03,Lotto Box 03
12038,Lotto_Box04,Lotto Box 04
12039,Lotto_Box05,Lotto Box 05
12040,Stone_Of_Intelligence_,Stone of Sage
12041,Str_Dish01,Fried Grasshopper Legs
12042,Str_Dish02,Seasoned Sticky Webfoot
12043,Str_Dish03,Bomber Steak
12044,Str_Dish04,Herb Marinade Beef
12045,Str_Dish05,Lutie Lady's Pancake
12046,Int_Dish01,Grape Juice Herbal Tea
12047,Int_Dish02,Autumn Red Tea
12048,Int_Dish03,Honey Herbal Tea
12049,Int_Dish04,Morocc Fruit Wine
12050,Int_Dish05,Mastela Fruit Wine
12051,Vit_Dish01,Steamed Crab Nippers
12052,Vit_Dish02,Assorted Seafood
12053,Vit_Dish03,Clam Soup
12054,Vit_Dish04,Seasoned Jellyfish
12055,Vit_Dish05,Spicy Fried Bao
12056,Agi_Dish01,Frog Egg Squid Ink Soup
12057,Agi_Dish02,Smooth Noodle
12058,Agi_Dish03,Tentacle Cheese Gratin
12059,Agi_Dish04,Lutie Cold Noodle
12060,Agi_Dish05,Steamed Bat Wing in Pumpkin
12061,Dex_Dish01,Honey Grape Juice
12062,Dex_Dish02,Chocolate Mousse Cake
12063,Dex_Dish03,Fruit Mix
12064,Dex_Dish04,Cream Sandwich
12065,Dex_Dish05,Green Salad
12066,Luk_Dish01,Fried Monkey Tails
12067,Luk_Dish02,Mixed Juice
12068,Luk_Dish03,Fried Sweet Potato
12069,Luk_Dish04,Steamed Ancient Lips
12070,Luk_Dish05,Fried Scorpion Tails
12071,Str_Dish06,Shiny Marinade Beef
12072,Str_Dish07,Whole Roast
12073,Str_Dish08,Bearfoot Special
12074,Str_Dish09,Tendon Satay
12075,Str_Dish10,Steamed Tongue
12076,Int_Dish06,Red Mushroom Wine
12077,Int_Dish07,Special Royal Jelly Herbal Tea
12078,Int_Dish08,Royal Family Tea
12079,Int_Dish09,Tristan XII
12080,Int_Dish10,Dragon Breath Cocktail
12081,Vit_Dish06,Awfully Bitter Bracer
12082,Vit_Dish07,Sumptuous Feast
12083,Vit_Dish08,Giant Burito
12084,Vit_Dish09,Ascending Dragon Soup
12085,Vit_Dish10,Immortal Stew
12086,Agi_Dish06,Chile Shrimp Gratin
12087,Agi_Dish07,Steamed Alligator with Vegetable
12088,Agi_Dish08,Incredibly Spicy Curry
12089,Agi_Dish09,Special Meat Stew
12090,Agi_Dish10,Steamed Desert Scorpions
12091,Dex_Dish06,Peach Cake
12092,Dex_Dish07,Soul Haunted Bread
12093,Dex_Dish08,Special Toast
12094,Dex_Dish09,Heavenly Fruit Juice
12095,Dex_Dish10,Hwergelmir's Tonic
12096,Luk_Dish06,Lucky Soup
12097,Luk_Dish07,Assorted Shish Kebob
12098,Luk_Dish08,Strawberry Flavored Rice Ball
12099,Luk_Dish09,Blood Flavored Soda
12100,Luk_Dish10,Cooked Nine Tail's Tails
12101,Citron,Citron
12102,Meat_Skewer,Grilled Skewer
12103,Bloody_Dead_Branch,Bloody Branch
12104,Random_Quiver,Random Quiver
12105,Set_Of_Taiming_Item,Taming Gift Set
12106,Accessory_Box,Jewelry Box
12107,Wrapped_Mask,Wrapped Mask
12108,Bundle_Of_Magic_Scroll,Scroll Package
12109,Poring_Box,Poring Box
12110,First_Aid_Kit,First Aid Kit
12111,Food_Package,Bundle of Food
12112,Tropical_Sograt,Tropical Sograt
12113,Vermilion_The_Beach,Vermilion on the Beach
12114,Elemental_Fire,Elemental Converter
12115,Elemental_Water,Elemental Converter
12116,Elemental_Earth,Elemental Converter
12117,Elemental_Wind,Elemental Converter
12118,Resist_Fire,Fireproof Potion
12119,Resist_Water,Coldproof Potion
12120,Resist_Earth,Earthproof Potion
12121,Resist_Wind,Thunderproof Potion
12122,Sesame_Pastry,Sesame Pastry
12123,Honey_Pastry,Honey Pastry
12124,Rainbow_Cake,Rainbow Cake
12125,Outdoor_Cooking_Kits,Outdoor Cooking Kit
12126,Indoor_Cooking_Kits,Home Cooking Kit
12127,High_end_Cooking_Kits,Professional Cooking Kit
12128,Imperial_Cooking_Kits,Royal Cooking Kit
12129,Fantastic_Cooking_Kits,Fantastic Cooking Kit
12130,Cookie_Bag,Cookie Bag
12131,Lucky_Potion,Lucky Potion
12132,Red_Bag,Santa's Bag
12133,Ice_Cream_,McDonald's Ice Cone
12134,Red_Envelope,Red Envelope
12135,Green_Ale,Green Ale
12136,Women's_Bundle,Women's Bundle
12137,1st_Stage_Prize,First Stage Prize
12138,2nd_Stage_Prize,Second Stage Prize
12139,3rd_Stage_Prize,Third Stage Prize
12140,4th_Stage_Prize,Fourth Stage Prize
12141,5th_Stage_Prize,Fifth Stage Prize
12142,Magic_Book,Book of Magic
12143,Red_Can,Red Can
12144,Sphere_Case_Wind,Lightning Sphere Pack
12145,Sphere_Case_Darkness,Blind Sphere Pack
12146,Sphere_Case_Poison,Poison Sphere Pack
12147,Sphere_Case_Water,Freezing Sphere Pack
12148,Sphere_Case_Fire,Flare Sphere Pack
12149,Bullet_Case,Cartridge
12150,Bullet_Case_Blood,Blood Cartridge
12151,Bullet_Case_Silver,Silver Cartridge
12152,Special_Box,Special Present
12153,Bow_Mercenary_Scroll1,Bowman Scroll 1
12154,Bow_Mercenary_Scroll2,Bowman Scroll 2
12155,Bow_Mercenary_Scroll3,Bowman Scroll 3
12156,Bow_Mercenary_Scroll4,Bowman Scroll 4
12157,Bow_Mercenary_Scroll5,Bowman Scroll 5
12158,Bow_Mercenary_Scroll6,Bowman Scroll 6
12159,Bow_Mercenary_Scroll7,Bowman Scroll 7
12160,Bow_Mercenary_Scroll8,Bowman Scroll 8
12161,Bow_Mercenary_Scroll9,Bowman Scroll 9
12162,Bow_Mercenary_Scroll10,Bowman Scroll 10
12163,SwordMercenary_Scroll1,Fencer Scroll 1
12164,SwordMercenary_Scroll2,Fencer Scroll 2
12165,SwordMercenary_Scroll3,Fencer Scroll 3
12166,SwordMercenary_Scroll4,Fencer Scroll 4
12167,SwordMercenary_Scroll5,Fencer Scroll 5
12168,SwordMercenary_Scroll6,Fencer Scroll 6
12169,SwordMercenary_Scroll7,Fencer Scroll 7
12170,SwordMercenary_Scroll8,Fencer Scroll 8
12171,SwordMercenary_Scroll9,Fencer Scroll 9
12172,SwordMercenary_Scroll10,Fencer Scroll 10
12173,SpearMercenary_Scroll1,Spearman Scroll 1
12174,SpearMercenary_Scroll2,Spearman Scroll 2
12175,SpearMercenary_Scroll3,Spearman Scroll 3
12176,SpearMercenary_Scroll4,Spearman Scroll 4
12177,SpearMercenary_Scroll5,Spearman Scroll 5
12178,SpearMercenary_Scroll6,Spearman Scroll 6
12179,SpearMercenary_Scroll7,Spearman Scroll 7
12180,SpearMercenary_Scroll8,Spearman Scroll 8
12181,SpearMercenary_Scroll9,Spearman Scroll 9
12182,SpearMercenary_Scroll10,Spearman Scroll 10
12183,Holy_Arrow_Quiver,Holy Arrow Quiver
12184,Mercenary_Red_Potion,Mercenary Red Potion
12185,Mercenary_Blue_Potion,Mercenary Blue Potion
12186,Red_Box,Old Red Box
12187,Green_Box,Old Green Box
12188,Magical_Moon_Cake,Grace Moon Cake
12189,Red_Box_,Old Red Box
12190,Moon_Cake,Moon Cake
12191,Special_Moon_Cake,Special Moon Cake
12192,Pumpkin_Pie,Pumpkin Pie
12193,Brezel,Pretzel
12194,Hometown_Gift,Hometown Gift
12195,Plain_Rice_Cake,Plain Rice Cake
12196,Hearty_Rice_Cake,Hearty Rice Cake
12197,Salty_Rice_Cake,Salty Rice Cake
12198,Lucky_Rice_Cake,Lucky Rice Cake
12199,Rice_Scroll,Scroll of Magic
12200,Event_Cake,X-mas Cake
12201,Red_Box_C,Commonplace Red Box
12202,Str_Dish10_,Steamed Tongue
12203,Agi_Dish10_,Steamed Scorpion
12204,Int_Dish10_,Dragon Breath Cocktail
12205,Dex_Dish10_,Hwergelmir's Tonic
12206,Luk_Dish10_,Cooked Nine Tail's Tails
12207,Vit_Dish10_,Stew Of Immortality
12208,Battle_Manual,Battle Manual
12209,Insurance,Life Insurance
12210,Bubble_Gum,Bubble Gum
12211,Kafra_Card,Kafra Card
12212,Giant_Fly_Wing,Giant Fly Wing
12213,Neuralizer,Neuralizer
12214,Convex_Mirror,Convex Mirror
12215,Blessing_10_Scroll,LV10 Blessing Scroll
12216,Inc_Agi_10_Scroll,LV10 Agil Scroll
12217,Aspersio_5_Scroll,LV5 Aspersio Scroll
12218,Assumptio_5_Scroll,LV5 Assumptio Scroll
12219,Wind_Walk_10_Scroll,LV10 Wind Walker Scroll
12220,Adrenaline_Scroll,LV5 Adrenaline Scroll
12221,Megaphone_,Megaphone
12223,Sweets_Macacake,Sweets Macaron Cake
12224,Sweets_Sparfait,Sweets Strawberry Parfait
12225,Sweet_Candy_Striper,Sweet Candy Cane
12226,Examination1,Examination 1
12227,Examination2,Examination 2
12228,Examination3,Examination 3
12229,Examination4,Examination 4
12230,Examination5,Examination 5
12231,Examination6,Examination 6
12232,Gingerbread,Ginger Bread
12233,Kvass,Kvass
12234,Cacao99,Fierce Cacao 99%
12235,Strawberry_Choco,Chocolate Strawberry
12236,Choco_Tart,Chocolate Tart
12237,Choco_Lump,Junky Chocolate
12238,New_Year_Rice_Cake_1,New Year Rice Cake
12239,New_Year_Rice_Cake_2,New Year Rice Cake
12240,Old_Yellow_Box,Old Yellow Box
12241,M_Center_Potion,Mercenary Concentration Potion
12242,M_Awakening_Potion,Mercenary Awakening Potion
12243,M_Berserk_Potion,Mercenary Berserk Potion
